Script	ID	predictability_weight	deletion_rate	Word	Distance	AvailableRate
script__QC_3_W_GPT2L	842160542	0.25	0.35	8	of	0.04
script__QC_3_W_GPT2L	842160542	0.25	0.35	9	of	0.08
script__QC_3_W_GPT2L	842160542	0.25	0.35	10	of	0.06
script__QC_3_W_GPT2L	842160542	0.25	0.35	11	of	0.04
script__QC_3_W_GPT2L	842160542	0.25	0.35	12	of	0.03
script__QC_3_W_GPT2L	842160542	0.25	0.35	13	of	0.03
script__QC_3_W_GPT2L	842160542	0.25	0.35	14	of	0.05
script__QC_3_W_GPT2L	842160542	0.25	0.35	15	of	0.1
script__QC_3_W_GPT2L	842160542	0.25	0.35	16	of	0.07
script__QC_3_W_GPT2L	842160542	0.25	0.35	17	of	0.33
script__QC_3_W_GPT2L	842160542	0.25	0.35	18	of	0.91
script__QC_3_W_GPT2L	842160542	0.25	0.35	19	of	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	20	of	0.01
script__QC_3_W_GPT2L	842160542	0.25	0.35	0	by	0.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	1	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	2	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	3	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	4	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	5	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	6	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	7	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	8	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	9	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	10	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	11	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	12	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	13	by	0.99
script__QC_3_W_GPT2L	842160542	0.25	0.35	14	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	15	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	16	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	17	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	18	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	19	by	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	20	by	0.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	0	about	0.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	1	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	2	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	3	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	4	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	5	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	6	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	7	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	8	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	9	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	10	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	11	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	12	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	13	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	14	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	15	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	16	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	17	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	18	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	19	about	1.0
script__QC_3_W_GPT2L	842160542	0.25	0.35	20	about	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	was	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	was	0.04
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	was	0.63
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	was	0.03
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	was	0.51
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	was	0.22
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	was	0.48
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	was	0.39
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	was	0.43
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	was	0.36
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	was	0.67
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	was	0.02
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	was	0.61
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	was	0.59
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	was	0.44
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	was	0.67
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	was	0.82
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	was	0.93
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	was	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	was	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	was	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	that	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	that	0.06
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	that	0.89
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	that	0.04
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	that	0.87
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	that	0.47
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	that	0.79
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	that	0.58
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	that	0.86
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	that	0.7
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	that	0.88
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	that	0.04
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	that	0.89
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	that	0.76
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	that	0.74
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	that	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	that	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	that	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	that	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	that	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	that	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	fact	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	fact	0.02
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	fact	0.95
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	fact	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	fact	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	fact	0.53
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	fact	0.93
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	fact	0.76
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	fact	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	fact	0.79
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	fact	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	fact	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	fact	0.93
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	fact	0.88
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	fact	0.86
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	fact	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	fact	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	fact	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	fact	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	fact	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	fact	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	information	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	information	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	information	0.85
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	information	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	information	0.87
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	information	0.47
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	information	0.83
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	information	0.57
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	information	0.9
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	information	0.64
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	information	0.93
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	information	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	information	0.92
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	information	0.86
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	information	0.75
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	information	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	information	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	information	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	information	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	information	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	information	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	report	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	report	0.02
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	report	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	report	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	report	0.92
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	report	0.7
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	report	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	report	0.8
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	report	0.93
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	report	0.84
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	report	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	report	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	report	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	report	0.92
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	report	0.9
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	report	0.97
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	report	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	report	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	report	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	report	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	report	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	belief	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	belief	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	belief	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	belief	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	belief	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	belief	0.85
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	belief	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	belief	0.85
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	belief	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	belief	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	belief	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	belief	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	belief	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	belief	0.95
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	belief	0.95
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	belief	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	belief	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	belief	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	belief	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	belief	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	belief	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	finding	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	finding	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	finding	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	finding	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	finding	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	finding	0.68
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	finding	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	finding	0.73
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	finding	0.92
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	finding	0.79
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	finding	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	finding	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	finding	0.93
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	finding	0.89
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	finding	0.88
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	finding	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	finding	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	finding	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	finding	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	finding	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	finding	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	prediction	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	prediction	0.02
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	prediction	0.97
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	prediction	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	prediction	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	prediction	0.61
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	prediction	0.95
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	prediction	0.79
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	prediction	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	prediction	0.84
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	prediction	0.97
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	prediction	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	prediction	0.95
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	prediction	0.92
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	prediction	0.89
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	prediction	0.96
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	prediction	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	prediction	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	prediction	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	prediction	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	prediction	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	of	0.1
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	of	0.13
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	of	0.4
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	of	0.14
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	of	0.4
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	of	0.26
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	of	0.31
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	of	0.39
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	of	0.33
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	of	0.27
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	of	0.41
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	of	0.09
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	of	0.49
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	of	0.45
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	of	0.41
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	of	0.44
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	of	0.57
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	of	0.73
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	of	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	of	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	of	0.08
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	by	0.02
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	by	0.06
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	by	0.68
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	by	0.06
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	by	0.59
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	by	0.34
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	by	0.52
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	by	0.42
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	by	0.57
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	by	0.41
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	by	0.65
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	by	0.03
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	by	0.68
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	by	0.61
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	by	0.61
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	by	0.72
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	by	0.83
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	by	0.94
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	by	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	by	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	by	0.02
script__QC_3_W_GPT2M	793155868	0.75	0.45	0	about	0.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	1	about	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	2	about	0.84
script__QC_3_W_GPT2M	793155868	0.75	0.45	3	about	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	4	about	0.84
script__QC_3_W_GPT2M	793155868	0.75	0.45	5	about	0.48
script__QC_3_W_GPT2M	793155868	0.75	0.45	6	about	0.8
script__QC_3_W_GPT2M	793155868	0.75	0.45	7	about	0.61
script__QC_3_W_GPT2M	793155868	0.75	0.45	8	about	0.92
script__QC_3_W_GPT2M	793155868	0.75	0.45	9	about	0.66
script__QC_3_W_GPT2M	793155868	0.75	0.45	10	about	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	11	about	0.01
script__QC_3_W_GPT2M	793155868	0.75	0.45	12	about	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	13	about	0.87
script__QC_3_W_GPT2M	793155868	0.75	0.45	14	about	0.82
script__QC_3_W_GPT2M	793155868	0.75	0.45	15	about	0.91
script__QC_3_W_GPT2M	793155868	0.75	0.45	16	about	0.98
script__QC_3_W_GPT2M	793155868	0.75	0.45	17	about	0.99
script__QC_3_W_GPT2M	793155868	0.75	0.45	18	about	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	19	about	1.0
script__QC_3_W_GPT2M	793155868	0.75	0.45	20	about	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	0	was	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	1	was	0.03
script__QC_3_W_GPT2M	770002526	1.0	0.5	2	was	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	3	was	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	4	was	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	5	was	0.05
script__QC_3_W_GPT2M	770002526	1.0	0.5	6	was	0.35
script__QC_3_W_GPT2M	770002526	1.0	0.5	7	was	0.86
script__QC_3_W_GPT2M	770002526	1.0	0.5	8	was	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	9	was	0.69
script__QC_3_W_GPT2M	770002526	1.0	0.5	10	was	0.03
script__QC_3_W_GPT2M	770002526	1.0	0.5	11	was	0.83
script__QC_3_W_GPT2M	770002526	1.0	0.5	12	was	0.75
script__QC_3_W_GPT2M	770002526	1.0	0.5	13	was	0.9
script__QC_3_W_GPT2M	770002526	1.0	0.5	14	was	0.91
script__QC_3_W_GPT2M	770002526	1.0	0.5	15	was	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	16	was	0.94
script__QC_3_W_GPT2M	770002526	1.0	0.5	17	was	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	18	was	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	19	was	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	20	was	0.04
script__QC_3_W_GPT2M	770002526	1.0	0.5	0	that	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	1	that	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	2	that	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	3	that	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	4	that	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	5	that	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	6	that	0.26
script__QC_3_W_GPT2M	770002526	1.0	0.5	7	that	0.94
script__QC_3_W_GPT2M	770002526	1.0	0.5	8	that	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	9	that	0.85
script__QC_3_W_GPT2M	770002526	1.0	0.5	10	that	0.04
script__QC_3_W_GPT2M	770002526	1.0	0.5	11	that	0.73
script__QC_3_W_GPT2M	770002526	1.0	0.5	12	that	0.9
script__QC_3_W_GPT2M	770002526	1.0	0.5	13	that	0.95
script__QC_3_W_GPT2M	770002526	1.0	0.5	14	that	0.96
script__QC_3_W_GPT2M	770002526	1.0	0.5	15	that	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	16	that	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	17	that	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	18	that	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	19	that	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	20	that	0.05
script__QC_3_W_GPT2M	770002526	1.0	0.5	0	fact	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	1	fact	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	2	fact	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	3	fact	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	4	fact	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	5	fact	0.03
script__QC_3_W_GPT2M	770002526	1.0	0.5	6	fact	0.36
script__QC_3_W_GPT2M	770002526	1.0	0.5	7	fact	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	8	fact	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	9	fact	0.95
script__QC_3_W_GPT2M	770002526	1.0	0.5	10	fact	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	11	fact	0.93
script__QC_3_W_GPT2M	770002526	1.0	0.5	12	fact	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	13	fact	0.97
script__QC_3_W_GPT2M	770002526	1.0	0.5	14	fact	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	15	fact	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	16	fact	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	17	fact	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	18	fact	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	19	fact	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	20	fact	0.02
script__QC_3_W_GPT2M	770002526	1.0	0.5	0	information	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	1	information	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	2	information	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	3	information	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	4	information	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	5	information	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	6	information	0.41
script__QC_3_W_GPT2M	770002526	1.0	0.5	7	information	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	8	information	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	9	information	0.95
script__QC_3_W_GPT2M	770002526	1.0	0.5	10	information	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	11	information	0.96
script__QC_3_W_GPT2M	770002526	1.0	0.5	12	information	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	13	information	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	14	information	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	15	information	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	16	information	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	17	information	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	18	information	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	19	information	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	20	information	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	0	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	1	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	2	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	3	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	4	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	5	report	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	6	report	0.42
script__QC_3_W_GPT2M	770002526	1.0	0.5	7	report	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	8	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	9	report	0.88
script__QC_3_W_GPT2M	770002526	1.0	0.5	10	report	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	11	report	0.95
script__QC_3_W_GPT2M	770002526	1.0	0.5	12	report	0.96
script__QC_3_W_GPT2M	770002526	1.0	0.5	13	report	0.99
script__QC_3_W_GPT2M	770002526	1.0	0.5	14	report	0.98
script__QC_3_W_GPT2M	770002526	1.0	0.5	15	report	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	16	report	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	17	report	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	18	report	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	19	report	1.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	20	report	0.01
script__QC_3_W_GPT2M	770002526	1.0	0.5	0	belief	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	1	belief	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	2	belief	0.0
script__QC_3_W_GPT2M	770002526	1.0	0.5	3	belief	0.0
